Purchase Number,Name,Phone Number,Email ID,Total,Date,Time,,,,
1,Customer1,1111111111,Email ID 1,1020,23-04-19,1:44:05,,,,
,,,,,,,,,,
2,Customer2,1111111112,Email ID 2,200,12-07-18,15:00:09,,,,
,,,,,,,,,,
3,Customer3,1111111113,Email ID 3,70,22-08-18,11:02:27,,,,
,,,,,,,,,,
4,Customer4,1111111114,Email ID 4,150,07-10-18,8:27:35,,,,
,,,,,,,,,,
5,Customer5,1111111115,Email ID 5,190,03-09-18,7:32:34,,,,
,,,,,,,,,,
6,Customer6,1111111116,Email ID 6,10,12-12-18,17:41:17,,,,
,,,,,,,,,,
7,Customer7,1111111117,Email ID 7,110,21-01-19,7:42:17,,,,
,,,,,,,,,,
8,Customer8,1111111118,Email ID 8,200,24-02-19,2:42:53,,,,
,,,,,,,,,,
9,Customer9,1111111119,Email ID 9,100,04-02-19,7:31:09,,,,
,,,,,,,,,,
10,Customer10,1111111120,Email ID 10,60,12-11-18,7:56:50,,,,
,,,,,,,,,,
11,Customer11,1111111121,Email ID 11,40,06-08-18,21:48:15,,,,
,,,,,,,,,,
12,Customer12,1111111122,Email ID 12,80,21-05-19,6:58:17,,,,
,,,,,,,,,,
13,Customer13,1111111123,Email ID 13,290,07-11-18,6:43:28,,,,
,,,,,,,,,,
14,Customer14,1111111124,Email ID 14,210,31-03-19,15:20:02,,,,
,,,,,,,,,,
15,Customer15,1111111125,Email ID 15,70,08-01-19,4:27:22,,,,
,,,,,,,,,,
16,Customer16,1111111126,Email ID 16,20,03-04-19,18:53:08,,,,
,,,,,,,,,,
17,Customer17,1111111127,Email ID 17,480,15-06-19,9:22:37,,,,
,,,,,,,,,,
18,Customer18,1111111128,Email ID 18,110,11-11-18,15:21:59,,,,
,,,,,,,,,,
19,Customer19,1111111129,Email ID 19,520,23-02-19,11:19:22,,,,
,,,,,,,,,,
20,Customer20,1111111130,Email ID 20,340,03-01-19,0:03:47,,,,
,,,,,,,,,,
21,Customer21,1111111131,Email ID 21,470,19-12-18,12:59:42,,,,
,,,,,,,,,,
22,Customer22,1111111132,Email ID 22,80,21-02-19,2:36:33,,,,
,,,,,,,,,,
23,Customer23,1111111133,Email ID 23,240,09-09-18,13:10:21,,,,
,,,,,,,,,,
24,Customer24,1111111134,Email ID 24,550,28-03-19,9:44:18,,,,
,,,,,,,,,,
25,Customer25,1111111135,Email ID 25,30,20-12-18,5:41:42,,,,
,,,,,,,,,,
26,Customer26,1111111136,Email ID 26,330,10-02-19,15:05:02,,,,
,,,,,,,,,,
27,Customer27,1111111137,Email ID 27,310,24-03-19,7:47:36,,,,
,,,,,,,,,,
28,Customer28,1111111138,Email ID 28,50,26-12-18,13:02:44,,,,
,,,,,,,,,,
29,Customer29,1111111139,Email ID 29,280,23-12-18,8:25:17,,,,
,,,,,,,,,,
